class,image_path,name,xmax,xmin,ymax,ymin
3.0,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,797.0,701.0,262.0,211.0
3.0,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,932.0,786.0,329.0,238.0
3.0,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,736.0,657.0,275.0,229.0
7.0,ea906a663da6321bcef78be4b7d1afff.jpg,BAD_BILLBOARD,986.0,786.0,136.0,0.0
8.0,1c7d48005a12d1b19261b8e71df7cafe.jpg,SAND_ON_ROAD,667.0,549.0,228.0,179.0
8.0,1c7d48005a12d1b19261b8e71df7cafe.jpg,SAND_ON_ROAD,799.0,628.0,238.0,176.0
8.0,8ca1b825716ea6755180fde347ac79c1.jpg,SAND_ON_ROAD,532.0,434.0,196.0,147.0
0.0,8ca1b825716ea6755180fde347ac79c1.jpg,GRAFFITI,549.0,471.0,177.0,131.0
0.0,8ca1b825716ea6755180fde347ac79c1.jpg,GRAFFITI,667.0,565.0,182.0,123.0
2.0,e1f3026bc4b1689d81f03e92e9043c2b.jpg,POTHOLES,841.0,640.0,408.0,284.0
3.0,c12b006174423ceb3e2e3563a8ca7751.jpg,GARBAGE,598.0,468.0,557.0,487.0
3.0,7fb40d10dde6d5643aa8e197b6b46c2e.jpg,GARBAGE,851.0,691.0,224.0,157.0
3.0,7fb40d10dde6d5643aa8e197b6b46c2e.jpg,GARBAGE,665.0,616.0,220.0,163.0
3.0,f05cd6411a3509a5ddc9d9a52536df01.jpg,GARBAGE,924.0,814.0,266.0,180.0
2.0,f05cd6411a3509a5ddc9d9a52536df01.jpg,POTHOLES,367.0,198.0,299.0,240.0
3.0,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,250.0,72.0,338.0,248.0
3.0,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,105.0,-21.0,336.0,256.0
3.0,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,320.0,186.0,338.0,255.0
3.0,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,441.0,324.0,337.0,260.0
3.0,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,515.0,400.0,330.0,265.0
3.0,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,699.0,614.0,332.0,269.0
9.0,467758955ec29fa2475ef6887c29b751.jpg,CLUTTER_SIDEWALK,495.0,111.0,312.0,202.0
9.0,467758955ec29fa2475ef6887c29b751.jpg,CLUTTER_SIDEWALK,943.0,386.0,335.0,199.0
7.0,9d100eb428edef6626df335ebf4a9def.jpg,BAD_BILLBOARD,938.0,723.0,168.0,34.0
9.0,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,465.0,0.0,398.0,312.0
9.0,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,669.0,306.0,369.0,310.0
9.0,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,980.0,544.0,390.0,294.0
3.0,8b4f8d79a3cc1144cab8f88a478e171b.jpg,GARBAGE,696.0,467.0,326.0,215.0
3.0,8b4f8d79a3cc1144cab8f88a478e171b.jpg,GARBAGE,521.0,412.0,441.0,368.0
4.0,cbc51ac48e7d68a22d17837af794cffa.jpg,CONSTRUCTION_ROAD,537.0,-40.0,452.0,162.0
4.0,cbc51ac48e7d68a22d17837af794cffa.jpg,CONSTRUCTION_ROAD,1060.0,282.0,437.0,187.0
8.0,ee3c87485169dbd1a19e5911e67390f6.jpg,SAND_ON_ROAD,568.0,479.0,224.0,166.0
3.0,ee3c87485169dbd1a19e5911e67390f6.jpg,GARBAGE,684.0,575.0,293.0,220.0
3.0,ee3c87485169dbd1a19e5911e67390f6.jpg,GARBAGE,95.0,34.0,229.0,191.0
2.0,f6e45cdb24e1bfc3214308ff1ddd2de2.jpg,POTHOLES,645.0,412.0,589.0,323.0
2.0,f6e45cdb24e1bfc3214308ff1ddd2de2.jpg,POTHOLES,782.0,583.0,569.0,338.0
0.0,beb51ff57e6429ea85c715e5b381deeb.jpg,GRAFFITI,996.0,768.0,190.0,32.0
3.0,beb51ff57e6429ea85c715e5b381deeb.jpg,GARBAGE,396.0,306.0,376.0,310.0
5.0,9ec0107501b37091e28853fafd3bec87.jpg,BROKEN_SIGNAGE,683.0,566.0,289.0,209.0
2.0,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,898.0,379.0,526.0,312.0
2.0,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,231.0,-53.0,575.0,382.0
2.0,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,322.0,155.0,540.0,450.0
4.0,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,CONSTRUCTION_ROAD,1027.0,595.0,351.0,122.0
4.0,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,CONSTRUCTION_ROAD,143.0,-40.0,307.0,103.0
7.0,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,BAD_BILLBOARD,722.0,615.0,181.0,137.0
7.0,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,BAD_BILLBOARD,672.0,543.0,188.0,134.0
3.0,df61a2072657c6babd6d3f68cffbdf2e.jpg,GARBAGE,900.0,813.0,260.0,193.0
0.0,df61a2072657c6babd6d3f68cffbdf2e.jpg,GRAFFITI,965.0,825.0,242.0,164.0
3.0,df61a2072657c6babd6d3f68cffbdf2e.jpg,GARBAGE,834.0,755.0,269.0,211.0
3.0,f0e0bd29cb5c035d5bd0dad5d1dc6f49.jpg,GARBAGE,519.0,467.0,224.0,165.0
3.0,74819fbb61d24c7e3887885c5f07d8db.jpg,GARBAGE,326.0,262.0,312.0,266.0
3.0,74819fbb61d24c7e3887885c5f07d8db.jpg,GARBAGE,745.0,662.0,422.0,376.0
3.0,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,839.0,643.0,260.0,196.0
3.0,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,726.0,563.0,255.0,198.0
3.0,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,596.0,518.0,249.0,195.0
0.0,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GRAFFITI,730.0,520.0,234.0,144.0
3.0,bd12de2d2c008b2c5f16f3c16af1b5a1.jpg,GARBAGE,437.0,390.0,240.0,196.0
3.0,bd12de2d2c008b2c5f16f3c16af1b5a1.jpg,GARBAGE,299.0,219.0,281.0,217.0
9.0,782429d6375c7e7b9a6875d6c1528c1a.jpg,CLUTTER_SIDEWALK,333.0,115.0,239.0,156.0
9.0,782429d6375c7e7b9a6875d6c1528c1a.jpg,CLUTTER_SIDEWALK,755.0,523.0,260.0,168.0
4.0,1b39cbe0913f552cefe1c254991720b1.jpg,CONSTRUCTION_ROAD,625.0,-117.0,499.0,150.0
4.0,1b39cbe0913f552cefe1c254991720b1.jpg,CONSTRUCTION_ROAD,1037.0,360.0,582.0,79.0
7.0,a33a221e5394da9294b9b3a6c815608b.jpg,BAD_BILLBOARD,340.0,136.0,256.0,151.0
3.0,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,818.0,706.0,399.0,333.0
3.0,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,736.0,636.0,372.0,257.0
3.0,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,689.0,529.0,393.0,303.0
7.0,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,782.0,595.0,184.0,94.0
7.0,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,921.0,793.0,188.0,97.0
7.0,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,669.0,564.0,178.0,115.0
7.0,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,664.0,572.0,218.0,151.0
9.0,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,461.0,257.0,269.0,194.0
9.0,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,348.0,96.0,322.0,213.0
9.0,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,201.0,7.0,367.0,238.0
9.0,61b9703264d680a9675a6e9c93843690.jpg,CLUTTER_SIDEWALK,269.0,108.0,246.0,184.0
9.0,61b9703264d680a9675a6e9c93843690.jpg,CLUTTER_SIDEWALK,174.0,-21.0,282.0,179.0
3.0,d031ed0dd9382f2c8237cafbabeaac66.jpg,GARBAGE,165.0,82.0,397.0,316.0
0.0,b079df7a0c498c361028fc7e97e31034.jpg,GRAFFITI,714.0,626.0,240.0,153.0
0.0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,468.0,350.0,185.0,119.0
0.0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,513.0,427.0,175.0,123.0
0.0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,586.0,501.0,176.0,110.0
3.0,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,685.0,615.0,255.0,216.0
3.0,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,749.0,687.0,332.0,273.0
3.0,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,746.0,690.0,266.0,217.0
3.0,ca43bf28ce699b15ffbf89b69a89f3ef.jpg,GARBAGE,669.0,353.0,204.0,154.0
3.0,259d85cc9b38d649c8fd2d1a8aca1c16.jpg,GARBAGE,285.0,225.0,255.0,211.0
0.0,e36ea4d90a6c3275af7393b209a47ac1.jpg,GRAFFITI,987.0,787.0,205.0,131.0
